INFO 2025-09-25 12:38:05,046 autoreload 1063787 139964708583232 Watching for file changes with StatReloader
INFO 2025-09-25 16:00:52,214 basehttp 1091157 139832487565056 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-09-25 16:00:52,295 basehttp 1091157 139832470779648 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
INFO 2025-09-25 16:00:52,297 basehttp 1091157 139832505923328 "GET /static/admin/css/base.css HTTP/1.1" 200 21207
INFO 2025-09-25 16:00:52,358 basehttp 1091157 139832479172352 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-09-25 16:00:52,358 basehttp 1091157 139832487565056 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-09-25 16:00:58,075 basehttp 1091157 139832487565056 "POST /admin/login/?next=/admin/doc/ HTTP/1.1" 200 4349
INFO 2025-09-25 16:01:03,605 basehttp 1091157 139832487565056 "GET /admin/login/?next=/admin/doc/ HTTP/1.1" 200 4191
INFO 2025-09-25 16:02:18,875 autoreload 1091157 139832662116160 /home/sergeo/Documents/spotter-application/spotter-backend/spotter_project/settings.py changed, reloading.
INFO 2025-09-25 16:02:29,822 autoreload 1093715 140548723943232 Watching for file changes with StatReloader
INFO 2025-09-25 16:13:52,290 basehttp 1093715 140548567856896 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-09-25 16:14:02,395 basehttp 1093715 140548567856896 "POST /api/auth/login/ HTTP/1.1" 200 1123
INFO 2025-09-25 16:14:02,566 basehttp 1093715 140548567856896 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-09-25 16:14:02,568 basehttp 1093715 140548546451200 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
INFO 2025-09-25 16:14:02,571 basehttp 1093715 140548538058496 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-09-25 16:14:02,571 basehttp 1093715 140548529665792 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
WARNING 2025-09-25 16:14:02,604 log 1093715 140548538058496 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-25 16:14:02,605 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-25 16:14:02,611 log 1093715 140548546451200 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-25 16:14:02,612 basehttp 1093715 140548546451200 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-25 16:14:02,673 log 1093715 140548538058496 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-25 16:14:02,677 log 1093715 140548529665792 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-25 16:14:02,678 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-25 16:14:02,679 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-25 16:18:02,558 log 1093715 140548538058496 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-25 16:18:02,566 log 1093715 140548529665792 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-25 16:18:02,573 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-25 16:18:02,575 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-25 16:18:02,613 log 1093715 140548538058496 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-25 16:18:02,619 log 1093715 140548546451200 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-25 16:18:02,626 basehttp 1093715 140548546451200 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-25 16:18:02,628 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-25 16:18:20,296 log 1093715 140548546451200 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-25 16:18:20,299 log 1093715 140548538058496 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-25 16:18:20,303 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-25 16:18:20,310 basehttp 1093715 140548546451200 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-25 16:18:20,334 log 1093715 140548567856896 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-25 16:18:20,335 log 1093715 140548529665792 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-25 16:18:20,338 basehttp 1093715 140548567856896 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-25 16:18:20,343 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
INFO 2025-09-25 16:18:58,277 basehttp 1093715 140548529665792 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
INFO 2025-09-25 16:18:58,279 basehttp 1093715 140548567856896 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
WARNING 2025-09-25 16:18:58,302 log 1093715 140548567856896 Not Found: /api/accounts/profile/
WARNING 2025-09-25 16:18:58,303 basehttp 1093715 140548567856896 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
WARNING 2025-09-25 16:18:58,368 log 1093715 140548529665792 Not Found: /api/accounts/profile/
WARNING 2025-09-25 16:18:58,371 basehttp 1093715 140548529665792 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
WARNING 2025-09-26 07:55:16,035 log 1093715 140548567856896 Not Found: /favicon.ico
WARNING 2025-09-26 07:55:16,127 basehttp 1093715 140548567856896 "GET /favicon.ico HTTP/1.1" 404 2929
INFO 2025-09-26 09:15:02,320 basehttp 1093715 140548567856896 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-09-26 09:15:04,552 basehttp 1093715 140548567856896 "POST /api/auth/login/ HTTP/1.1" 200 1123
INFO 2025-09-26 09:15:04,729 basehttp 1093715 140548567856896 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-09-26 09:15:04,733 basehttp 1093715 140548546451200 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
INFO 2025-09-26 09:15:05,047 basehttp 1093715 140548546451200 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
INFO 2025-09-26 09:15:05,048 basehttp 1093715 140548567856896 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
WARNING 2025-09-26 09:15:06,595 log 1093715 140548529665792 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 09:15:07,464 log 1093715 140548538058496 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 09:15:07,466 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 09:15:07,469 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 09:15:07,789 log 1093715 140548529665792 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 09:15:07,791 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 09:15:07,812 log 1093715 140548567856896 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 09:15:07,815 basehttp 1093715 140548567856896 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 09:33:11,241 log 1093715 140548529665792 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 09:33:11,303 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 09:33:11,306 log 1093715 140548546451200 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 09:33:11,307 basehttp 1093715 140548546451200 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
INFO 2025-09-26 17:55:49,279 basehttp 1093715 140548529665792 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
INFO 2025-09-26 17:55:49,280 basehttp 1093715 140548546451200 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
WARNING 2025-09-26 17:55:50,059 log 1093715 140548546451200 Not Found: /api/accounts/profile/
WARNING 2025-09-26 17:55:50,060 basehttp 1093715 140548546451200 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
WARNING 2025-09-26 17:55:50,117 log 1093715 140548529665792 Not Found: /api/accounts/profile/
WARNING 2025-09-26 17:55:50,119 basehttp 1093715 140548529665792 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
INFO 2025-09-26 18:41:15,671 basehttp 1093715 140548529665792 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-09-26 18:41:18,478 basehttp 1093715 140548529665792 "POST /api/auth/login/ HTTP/1.1" 200 1123
INFO 2025-09-26 18:41:21,230 basehttp 1093715 140548529665792 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-09-26 18:41:21,352 basehttp 1093715 140548529665792 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
INFO 2025-09-26 18:41:21,353 basehttp 1093715 140548546451200 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-09-26 18:41:21,409 basehttp 1093715 140548567856896 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
WARNING 2025-09-26 18:41:21,446 log 1093715 140548529665792 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 18:41:21,483 log 1093715 140548538058496 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 18:41:21,483 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 18:41:21,484 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 18:41:21,538 log 1093715 140548567856896 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 18:41:21,544 basehttp 1093715 140548567856896 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 18:41:21,545 log 1093715 140548538058496 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 18:41:21,546 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 18:41:21,651 log 1093715 140548538058496 Not Found: /api/accounts/profile/
WARNING 2025-09-26 18:41:21,652 basehttp 1093715 140548538058496 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
WARNING 2025-09-26 18:41:21,822 log 1093715 140548538058496 Not Found: /api/accounts/profile/
WARNING 2025-09-26 18:41:21,823 basehttp 1093715 140548538058496 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
WARNING 2025-09-26 18:43:33,343 log 1093715 140548538058496 Bad Request: /api/auth/login/
WARNING 2025-09-26 18:43:33,344 basehttp 1093715 140548538058496 "POST /api/auth/login/ HTTP/1.1" 400 50
WARNING 2025-09-26 18:44:07,338 log 1093715 140548538058496 Bad Request: /api/auth/login/
WARNING 2025-09-26 18:44:07,339 basehttp 1093715 140548538058496 "POST /api/auth/login/ HTTP/1.1" 400 50
WARNING 2025-09-26 18:50:46,445 log 1093715 140548538058496 Bad Request: /api/auth/login/
WARNING 2025-09-26 18:50:46,454 basehttp 1093715 140548538058496 "POST /api/auth/login/ HTTP/1.1" 400 50
INFO 2025-09-26 18:59:40,976 basehttp 1093715 140548538058496 "POST /api/auth/login/ HTTP/1.1" 200 1123
WARNING 2025-09-26 18:59:41,192 log 1093715 140548546451200 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 18:59:41,195 log 1093715 140548538058496 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 18:59:41,195 basehttp 1093715 140548546451200 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 18:59:41,196 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 18:59:41,322 log 1093715 140548538058496 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 18:59:41,326 log 1093715 140548529665792 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 18:59:41,335 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 18:59:41,336 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
INFO 2025-09-26 19:00:16,846 basehttp 1093715 140548538058496 "OPTIONS /api/trips/ HTTP/1.1" 200 0
INFO 2025-09-26 19:00:16,908 basehttp 1093715 140548529665792 "OPTIONS /api/trips/vehicles/ HTTP/1.1" 200 0
INFO 2025-09-26 19:00:16,911 basehttp 1093715 140548546451200 "OPTIONS /api/trips/vehicles/ HTTP/1.1" 200 0
INFO 2025-09-26 19:00:17,363 basehttp 1093715 140548529665792 "GET /api/trips/vehicles/ HTTP/1.1" 200 52
INFO 2025-09-26 19:00:17,364 basehttp 1093715 140548538058496 "GET /api/trips/ HTTP/1.1" 200 52
INFO 2025-09-26 19:00:17,548 basehttp 1093715 140548538058496 "GET /api/trips/ HTTP/1.1" 200 52
INFO 2025-09-26 19:00:17,549 basehttp 1093715 140548529665792 "GET /api/trips/vehicles/ HTTP/1.1" 200 52
WARNING 2025-09-26 19:00:27,450 log 1093715 140548529665792 Not Found: /api/accounts/profile/
WARNING 2025-09-26 19:00:27,456 basehttp 1093715 140548529665792 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
WARNING 2025-09-26 19:00:27,481 log 1093715 140548538058496 Not Found: /api/accounts/profile/
WARNING 2025-09-26 19:00:27,482 basehttp 1093715 140548538058496 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
INFO 2025-09-26 19:00:43,266 basehttp 1093715 140548538058496 "POST /api/auth/login/ HTTP/1.1" 200 1123
WARNING 2025-09-26 19:00:43,809 log 1093715 140548529665792 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 19:00:43,816 log 1093715 140548538058496 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 19:00:43,817 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 19:00:43,819 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 19:00:43,915 log 1093715 140548546451200 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 19:00:43,933 basehttp 1093715 140548546451200 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 19:00:43,938 log 1093715 140548538058496 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 19:00:43,952 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 19:06:24,390 log 1093715 140548529665792 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 19:06:24,402 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 19:06:24,434 log 1093715 140548546451200 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 19:06:24,435 basehttp 1093715 140548546451200 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 19:06:24,488 log 1093715 140548529665792 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 19:06:24,503 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 19:06:24,496 log 1093715 140548538058496 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 19:06:24,516 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
INFO 2025-09-26 19:07:59,554 autoreload 1093715 140548723943232 /home/sergeo/Documents/spotter-application/spotter-backend/accounts/views.py changed, reloading.
INFO 2025-09-26 19:09:00,058 autoreload 1235809 140333822490432 Watching for file changes with StatReloader
INFO 2025-09-26 19:11:45,448 autoreload 1236861 140168187856704 Watching for file changes with StatReloader
INFO 2025-09-26 20:12:34,177 autoreload 1242846 140268791883584 Watching for file changes with StatReloader
INFO 2025-09-26 20:13:13,424 basehttp 1242846 140268635956992 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
INFO 2025-09-26 20:13:13,438 basehttp 1242846 140268627564288 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
WARNING 2025-09-26 20:13:14,449 log 1242846 140268635956992 Not Found: /api/accounts/profile/
WARNING 2025-09-26 20:13:14,452 basehttp 1242846 140268635956992 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
WARNING 2025-09-26 20:13:14,557 log 1242846 140268627564288 Not Found: /api/accounts/profile/
WARNING 2025-09-26 20:13:14,564 basehttp 1242846 140268627564288 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
INFO 2025-09-26 20:13:57,771 basehttp 1242846 140268627564288 "POST /api/auth/login/ HTTP/1.1" 200 1123
WARNING 2025-09-26 20:13:58,061 log 1242846 140268635956992 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 20:13:58,079 basehttp 1242846 140268635956992 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 20:13:58,082 log 1242846 140268627564288 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 20:13:58,094 basehttp 1242846 140268627564288 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 20:13:58,122 log 1242846 140268635956992 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 20:13:58,124 basehttp 1242846 140268635956992 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 20:13:58,131 log 1242846 140268531611392 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 20:13:58,137 basehttp 1242846 140268531611392 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
INFO 2025-09-26 20:19:12,360 autoreload 1242846 140268791883584 /home/sergeo/Documents/spotter-application/spotter-backend/trips/urls.py changed, reloading.
INFO 2025-09-26 20:19:13,492 autoreload 1243461 140393536739136 Watching for file changes with StatReloader
INFO 2025-09-26 20:20:18,219 autoreload 1243461 140393536739136 /home/sergeo/Documents/spotter-application/spotter-backend/trips/views.py changed, reloading.
INFO 2025-09-26 20:20:19,429 autoreload 1243662 139889400612672 Watching for file changes with StatReloader
INFO 2025-09-26 20:21:00,317 basehttp 1243662 139889232312064 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:21:00,340 basehttp 1243662 139889311934208 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
INFO 2025-09-26 20:21:00,425 basehttp 1243662 139889311934208 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
INFO 2025-09-26 20:21:00,432 basehttp 1243662 139889213089536 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:21:15,384 autoreload 1243662 139889400612672 /home/sergeo/Documents/spotter-application/spotter-backend/accounts/views.py changed, reloading.
INFO 2025-09-26 20:21:16,703 autoreload 1243928 140335224235840 Watching for file changes with StatReloader
INFO 2025-09-26 20:21:30,484 autoreload 1243928 140335224235840 /home/sergeo/Documents/spotter-application/spotter-backend/accounts/urls.py changed, reloading.
INFO 2025-09-26 20:21:31,491 autoreload 1243982 139687890155328 Watching for file changes with StatReloader
INFO 2025-09-26 20:21:47,202 autoreload 1243982 139687890155328 /home/sergeo/Documents/spotter-application/spotter-backend/accounts/urls.py changed, reloading.
INFO 2025-09-26 20:21:48,331 autoreload 1244054 139959472199488 Watching for file changes with StatReloader
INFO 2025-09-26 20:22:11,762 basehttp 1244054 139959375128320 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:22:11,808 basehttp 1244054 139959375128320 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:22:11,813 basehttp 1244054 139959383521024 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
INFO 2025-09-26 20:22:11,840 basehttp 1244054 139959383521024 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
INFO 2025-09-26 20:38:48,904 basehttp 1244054 139959383521024 "OPTIONS /api/accounts/users/ HTTP/1.1" 200 0
WARNING 2025-09-26 20:38:49,469 log 1244054 139959383521024 Not Found: /api/accounts/users/
WARNING 2025-09-26 20:38:49,471 basehttp 1244054 139959383521024 "POST /api/accounts/users/ HTTP/1.1" 404 4921
WARNING 2025-09-26 20:39:16,750 log 1244054 139959383521024 Not Found: /api/accounts/users/
WARNING 2025-09-26 20:39:16,750 basehttp 1244054 139959383521024 "POST /api/accounts/users/ HTTP/1.1" 404 4921
WARNING 2025-09-26 20:41:30,583 log 1244054 139959383521024 Unauthorized: /api/trips/dashboard/stats/
WARNING 2025-09-26 20:41:30,604 basehttp 1244054 139959383521024 "GET /api/trips/dashboard/stats/ HTTP/1.1" 401 58
WARNING 2025-09-26 20:41:30,617 log 1244054 139959375128320 Unauthorized: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 20:41:30,624 basehttp 1244054 139959375128320 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 401 58
WARNING 2025-09-26 20:41:30,699 log 1244054 139959383521024 Unauthorized: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 20:41:30,700 basehttp 1244054 139959383521024 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 401 58
WARNING 2025-09-26 20:41:30,716 log 1244054 139959148918528 Unauthorized: /api/trips/dashboard/stats/
WARNING 2025-09-26 20:41:30,727 basehttp 1244054 139959148918528 "GET /api/trips/dashboard/stats/ HTTP/1.1" 401 58
INFO 2025-09-26 20:41:47,271 basehttp 1244054 139959148918528 "OPTIONS /api/accounts/login/ HTTP/1.1" 200 0
WARNING 2025-09-26 20:41:47,301 log 1244054 139959148918528 Not Found: /api/accounts/login/
WARNING 2025-09-26 20:41:47,318 basehttp 1244054 139959148918528 "POST /api/accounts/login/ HTTP/1.1" 404 4921
WARNING 2025-09-26 20:42:04,225 log 1244054 139959148918528 Not Found: /api/accounts/login/
WARNING 2025-09-26 20:42:04,227 basehttp 1244054 139959148918528 "POST /api/accounts/login/ HTTP/1.1" 404 4921
INFO 2025-09-26 20:44:28,318 autoreload 1244054 139959472199488 /home/sergeo/Documents/spotter-application/spotter-backend/spotter_project/urls.py changed, reloading.
INFO 2025-09-26 20:44:30,479 autoreload 1246443 140310118913856 Watching for file changes with StatReloader
INFO 2025-09-26 20:44:48,134 basehttp 1246443 140309963077376 "POST /api/accounts/login/ HTTP/1.1" 200 1123
INFO 2025-09-26 20:44:48,423 basehttp 1246443 140309963077376 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-09-26 20:44:48,441 basehttp 1246443 140309870671616 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
INFO 2025-09-26 20:44:48,485 basehttp 1246443 140309862278912 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
INFO 2025-09-26 20:44:48,499 basehttp 1246443 140309870671616 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:44:48,516 basehttp 1246443 140309963077376 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
INFO 2025-09-26 20:44:48,573 basehttp 1246443 140309870671616 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:44:48,584 basehttp 1246443 140309963077376 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
INFO 2025-09-26 20:44:54,927 basehttp 1246443 140309963077376 "GET /api/trips/vehicles/ HTTP/1.1" 200 52
INFO 2025-09-26 20:44:55,034 basehttp 1246443 140309963077376 "GET /api/trips/vehicles/ HTTP/1.1" 200 52
INFO 2025-09-26 20:45:06,065 autoreload 1246443 140310118913856 /home/sergeo/Documents/spotter-application/spotter-backend/accounts/serializers.py changed, reloading.
INFO 2025-09-26 20:45:07,711 autoreload 1246667 139956870297408 Watching for file changes with StatReloader
INFO 2025-09-26 20:45:15,891 basehttp 1246667 139956714481408 "GET /api/accounts/profile/ HTTP/1.1" 200 533
INFO 2025-09-26 20:45:15,923 basehttp 1246667 139956693337856 "GET /api/accounts/profile/ HTTP/1.1" 200 533
INFO 2025-09-26 20:45:16,868 basehttp 1246667 139956714481408 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:45:17,063 basehttp 1246667 139956693337856 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
INFO 2025-09-26 20:45:17,086 basehttp 1246667 139956609611520 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 200 83
INFO 2025-09-26 20:45:17,090 basehttp 1246667 139956714481408 "GET /api/trips/dashboard/stats/ HTTP/1.1" 200 142
WARNING 2025-09-26 20:51:00,204 log 1246667 139956609611520 Bad Request: /api/accounts/users/
